ID,Item,Area,Initial Size Estimate,Sprint 1,Sprint 2,Sprint 3,Sprint 4
1001,Set up repository sbt build and continuous integration,Build/CI,2,DONE,-,-,-
1060,Add headless JavaFX test execution to CI,Build/Testing,2,DONE,-,-,-
1004,Specify DSL requirements grammar and composition rules,Documentation,2,DONE,-,-,-
1005,Implement the initial SoundCode AST,Parser,3,DONE,-,-,-
1006,Implement the FastParse parser foundation,Parser,3,DONE,-,-,-
1008,Parse multi-stream programs sequences and parallel patterns,Parser,5,DONE,-,-,-
1009,Parse note and percussion identifiers,Parser,2,DONE,-,-,-
1035,Validate note syntax accidentals octaves and MIDI range,Parser/Audio,2,DONE,-,-,-
1014,Parse alternating patterns with angle-bracket syntax,Parser,3,DONE,-,-,-
1017,Implement generic extension chaining syntax,Parser,5,DONE,-,-,-
1018,Parse gain pan room delay lpf and hpf effects,Parser,3,DONE,-,-,-
1020,Parse fast slow early late rev and ply transformations,Parser,3,DONE,-,-,-
1019,Parse local speed operators * and /,Parser,2,DONE,-,-,-
1021,Add whitespace tolerance and parse jux/off extensions,Parser,1,DONE,-,-,-
1003,Define the initial musical and temporal domain model,Domain,3,1,DONE,-,-
1007,Implement the basic Pattern model,Domain,2,DONE,-,-,-
1050,Implement the initial RichTextFX block editor with line numbers,UI/Editor,6,DONE,-,-,-
1010,Implement syntax highlighting on top of the base editor,UI/Editor,3,2,DONE,-,-
1065,Redesign the block editor as a single multiline RichTextFX area with wrapping,UI/Editor,6,-,6,DONE,-
1051,Implement editor delimiter auto-pairing,UI/Editor,3,DONE,-,-,-
1066,Implement contextual code completion and snippets,UI/Editor,8,-,5,DONE,-
1011,Connect editor updates to parsing and interpretation,UI/MVU,1,-,DONE,-,-
1049,Introduce MVU views messages commands and application state,UI/MVU,2,-,DONE,-,-
1061,Implement and test the serialized SoundCodeRuntime MVU loop,UI/MVU,5,3,2,2,DONE
1047,Implement and refine the AnimatedView and VisualizerViewFactory architecture,Visualization,4,3,2,2,DONE
1048,Implement and integrate the piano-roll event visualization,Visualization,6,4,3,2,DONE
1026,Implement Scheduler timelines from resolved patterns,Engine,5,3,DONE,-,-
1037,Implement and stabilize AudioPlayer timeline consumption and deterministic ticking,Engine/Audio,4,1,1,3,DONE
1033,Complete the ProgramAST-to-timeline interpreter pipeline,Interpreter,8,5,3,3,DONE
1002,Create and progressively complete documentation and GitHub Pages,Documentation,3,2,3,2,DONE
1022,Propagate source positions through AST domain events and extensions,Domain,3,-,2,1,DONE
1024,Refactor Pattern extensions and modifiers in the domain model,Engine,3,1,4,DONE,-
1032,Use Fraction and Interval for exact scheduling,Domain/Engine,3,-,DONE,-,-
1034,Report parser failures and reject invalid commands,Parser/UI,3,-,2,2,DONE
1030,Implement reverse repetition and time-warp resolvers,Engine,6,-,3,DONE,-
1038,Separate real-time playback from MIDI sound production,Engine/Audio,1,-,DONE,-,-
1039,Publish playback positions for reactive editor highlighting,UI/MVU,3,2,2,2,DONE
1046,Expose scheduler events to visualizer timelines,Visualization,1,-,-,-,DONE
1052,Complete syntax highlighting and centralized UI theme management,UI/Editor,3,2,1,1,DONE
1055,Overlay playback highlights using source positions,UI/Editor,3,-,1,"DONE
",-
1056,Optimize editor styling overlays and rendering after the redesign,UI/Editor,5,-,-,3,DONE
1053,Implement Update Play Stop controls and keyboard shortcuts,UI/MVU,2,2,1,DONE,-
1042,Implement the Java MIDI AudioEngine and MidiBackend,Audio/MIDI,8,-,-,5,DONE
1063,Implement MIDI channel allocation retrigger and note-off handling,Audio/MIDI,5,-,-,3,DONE
1031,Split PatternResolver into specialized resolvers,Engine,5,-,3,DONE,-
1012,Parse and extract the _pianoroll visualizer command,Parser/Visualization,3,-,-,DONE,-
1013,Parse and interpret silent pattern atoms,Parser/Interpreter,2,-,-,-,DONE
1016,Implement setting blocks in the AST and parser,Parser,3,-,-,-,DONE
1023,Introduce ConfigInText for positioned configuration patterns,Domain,3,-,-,-,DONE
1027,Support pattern resolution across cycle boundaries,Engine,2,-,DONE,-,-
1025,Interpret jux and off modifiers,Interpreter,1,-,5,1,DONE
1028,Implement juxtaposition with left/right pan metadata,Engine,2,-,-,-,DONE
1029,Implement offset composition,Engine,2,-,-,-,DONE
1041,Make AudioPlayer play stop update and active-note handling thread-safe,Engine/Audio,2,-,-,-,DONE
1043,Translate gain pan room and lpf metadata to MIDI controls,Audio/MIDI,5,-,-,-,DONE
1044,Select General MIDI instruments through program changes,Audio/MIDI,3,-,-,-,DONE
1054,Connect the volume slider through MVU to the MIDI backend,UI/MVU,1,-,-,-,DONE
1058,Anchor visualizer overlays to editor blocks and handle resize/scroll,Visualization,3,-,-,1,DONE
1059,Display non-destructive parsing errors in the UI banner,UI/MVU,3,-,-,-,DONE
1057,Share the animation timer and limit visualizer frame rate,Visualization,3,-,-,-,DONE
1062,Provide a silent AudioEngine fallback when MIDI is unavailable,Audio/MIDI,2,-,-,-,DONE
1064,Configure the executable assembly JAR,Build/Release,2,-,-,-,DONE
